element_name,type,parent_element,search_path,occurrence,description,search_path_string,COLUMN_NAME,DATA_TYPE,COLUMN_DEF
PECOS_ASCT_CNTL_ID,String10,PEC_NPHYSN_TCHNCN,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_IDTF_SUPPLR', 'PEC_NPHYSN_TCHNCN']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_IDTF_SUPPLR', 'PEC_NPHYSN_TCHNCN']",PECOS_ASCT_CNTL_ID,CHAR,Unique number that identifies a Pecos Associate._x000D_
BIRTH_DT,DATE_TYPE,INDVDL_ASCTN_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'INDVDL_ASCTN_INFO']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'INDVDL_ASCTN_INFO']",BIRTH_DT,DATE,Birth date of  the  Medicare Exclusionary Database (MED) Sanctioned Associate._x000D_
DEATH_DT,DATE_TYPE,INDVDL_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']",DEATH_DT,DATE,Death Date of the individual._x000D_
BIRTH_STATE_CD,String2,INDVDL_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']",BIRTH_STATE_CD,CHAR,Unique value that identifies a state._x000D_
BIRTH_STATE_NAME,String80,INDVDL_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']",BIRTH_STATE_NAME,VARCHAR2,Value for BIRTH_STATE_NAME
BIRTH_CNTRY_CD,String2,INDVDL_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']",BIRTH_CNTRY_CD,CHAR,Country code of birth of the PECOS associate_x000D_
BIRTH_CNTRY_NAME,String60,INDVDL_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']",BIRTH_CNTRY_NAME,VARCHAR2,Value for BIRTH_CNTRY_NAME
BIRTH_FRGN_SW,ChoiceYesNoData_TYPE,INDVDL_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']",,,
NAME_LIST,NAME_LIST_TYPE,INDVDL_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']","minOccurs=0, maxOccurs=unbounded",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']",,,
PEC_INDVDL_NAME,PEC_INDVDL_NAME_TYPE,INDVDL_ASCTN_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'INDVDL_ASCTN_INFO']","minOccurs=0, maxOccurs=unbounded",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'INDVDL_ASCTN_INFO']",,,
NAME_CD,String1,PEC_INDVDL_NAME,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'INDVDL_ASCTN_INFO', 'PEC_INDVDL_NAME']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'INDVDL_ASCTN_INFO', 'PEC_INDVDL_NAME']",NAME_CD,CHAR,"Indicator that defines a name as legal, alias, history legal, history alias._x000D_"
NAME_DESC,String50,PEC_INDVDL_NAME,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'INDVDL_ASCTN_INFO', 'PEC_INDVDL_NAME']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'INDVDL_ASCTN_INFO', 'PEC_INDVDL_NAME']",,,
FIRST_NAME,String25,PEC_SGNTR,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_SGNTR']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_SGNTR']",FIRST_NAME,VARCHAR2,Identifies the first name of the Pecos associate._x000D_
MDL_NAME,String25,PEC_SGNTR,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_SGNTR']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_SGNTR']",MDL_NAME,VARCHAR2,Identifies the middle name of the Pecos associate._x000D_
LAST_NAME,String35,PEC_SGNTR,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_SGNTR']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_SGNTR']",LAST_NAME,VARCHAR2,Identifies the last name of the Pecos associate._x000D_
TRMNTN_DT,DATE_TYPE,PEC_MDCR_NUM,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PEC_AFDVT_LIST', 'PEC_AFDVT', 'MDCR_ID_LIST', 'PEC_MDCR_NUM']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PEC_AFDVT_LIST', 'PEC_AFDVT', 'MDCR_ID_LIST', 'PEC_MDCR_NUM']",TRMNTN_DT,DATE,Date address was no longer effective._x000D_
DATA_STUS_CD,String10,CNTRCTR_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PEC_AFDVT_LIST', 'PEC_AFDVT', 'CNTRCTR_LIST', 'CNTRCTR_INFO']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PEC_AFDVT_LIST', 'PEC_AFDVT', 'CNTRCTR_LIST', 'CNTRCTR_INFO']",DATA_STUS_CD,CHAR,A unique code that indicates the status of the data contained in the current row. The only value is P(roduction)._x000D_
PEC_DEA,PEC_DEA_TYPE,ORG_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO']","minOccurs=0, maxOccurs=unbounded",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO']",,,
DEA_NUM,String20,PEC_DEA,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_DEA']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_DEA']",DEA_NUM,VARCHAR2,Drug Enforcement Agency (DEA) Registration Number._x000D_
EFCTV_DT,DATE_TYPE,PEC_MDCR_NUM,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PEC_AFDVT_LIST', 'PEC_AFDVT', 'MDCR_ID_LIST', 'PEC_MDCR_NUM']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PEC_AFDVT_LIST', 'PEC_AFDVT', 'MDCR_ID_LIST', 'PEC_MDCR_NUM']",EFCTV_DT,DATE,Effective date for ADI (Advanced Diagnostic Imaging)_x000D_
PEC_TIN,PEC_TIN_TYPE,ORG_ASCTN_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'ORG_ASCTN_INFO']","minOccurs=0, maxOccurs=unbounded",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'ORG_ASCTN_INFO']",,,
TIN,String9,PEC_SGNTR,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_SGNTR']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_SGNTR']",TIN,CHAR,Tax Identification Number TIN of the chain directory_x000D_
TAX_IDENT_TYPE_CD,String1,PEC_SGNTR,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_SGNTR']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_SGNTR']",TAX_IDENT_TYPE_CD,CHAR,"Designates the TIN as an EIN, ITIN, or SSN._x000D_"
TAX_IDENT_DESC,String4,PEC_TIN,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'ORG_ASCTN_INFO', 'PEC_TIN']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'ORG_ASCTN_INFO', 'PEC_TIN']",,,
PEC_NPI,PEC_NPI_TYPE,CMS_855O,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O']","minOccurs=0, maxOccurs=unbounded",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O']",,,
NPI,String10,PEC_NPI,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_NPI']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_NPI']",NPI,CHAR(10),The unique number generated by the National Provider system for the requesting provider.
CP575_NPI_SW,ChoiceYesNoData_TYPE,PEC_NPI,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_NPI']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_NPI']",,,
VRFYD_BUSNS_SW,ChoiceYesNoData_TYPE,PEC_NPI,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_NPI']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_NPI']",,,
CREAT_TS,dateTime,PEC_NPI,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_NPI']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'PEC_NPI']",CREAT_TS,TIMESTAMP(6),System generated timestamp that indicates when the PEC_1099_MLG_ADR row was created._x000D_
PEC_MDCL_SCHL,PEC_MDCL_SCHL_TYPE,INDVDL_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']","minOccurs=0, maxOccurs=unbounded",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO']",,,
MDCL_SCHL_ID,String5,PEC_MDCL_SCHL,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO', 'PEC_MDCL_SCHL']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO', 'PEC_MDCL_SCHL']",MDCL_SCHL_ID,CHAR,Name of the Medical School that the PECOS Associate attends or attended_x000D_
MDCL_SCHL_DESC,String100,PEC_MDCL_SCHL,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO', 'PEC_MDCL_SCHL']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO', 'PEC_MDCL_SCHL']",,,
GRDTN_YR_DT,GRDTN_YR_DT_TYPE,PEC_MDCL_SCHL,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO', 'PEC_MDCL_SCHL']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'INDVDL_INFO', 'PEC_MDCL_SCHL']",GRDTN_YR_DT,CHAR,The year that the individual practitioner graduated from medical or professional school._x000D_
PEC_MED_SNCTN,PEC_MED_SNCTN_TYPE,ORG_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO']","minOccurs=0, maxOccurs=unbounded",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO']",,,
SNCTN_CD,String10,PEC_MED_SNCTN,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_MED_SNCTN']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_MED_SNCTN']",SNCTN_CD,VARCHAR2,A Code of Medicare Exclusionary Database (MED) Sanction._x000D_
SNCTN_DESC,String120,PEC_MED_SNCTN,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_MED_SNCTN']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_MED_SNCTN']",SNCTN_DESC,VARCHAR2,Description of Medicare Exclusionary Database (MED) Sanction code._x000D_
SNCTN_DT,DATE_TYPE,PEC_MED_SNCTN,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_MED_SNCTN']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_MED_SNCTN']",SNCTN_DT,DATE,A Date of Medicare Exclusionary Database (MED) Sanction._x000D_
REINSTMT_DT,DATE_TYPE,PEC_MED_SNCTN,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_MED_SNCTN']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_MED_SNCTN']",REINSTMT_DT,DATE,A Reinstatement of Medicare Exclusionary Database (MED) Report._x000D_
DLTD_TS,dateTime,PEC_MED_SNCTN,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_MED_SNCTN']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_MED_SNCTN']",DLTD_TS,TIMESTAMP(6),System generated timestamp that indicates when the PEC_DME_SUPLR_TYPE_DLTD row was created._x000D_
PEC_ADVRS_LGL_ACTN,PEC_ADVRS_LGL_ACTN_Type,ORG_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO']","minOccurs=0, maxOccurs=unbounded",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO']",,,
ACTN_TXT,,PEC_ADVRS_LGL_ACTN,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_ADVRS_LGL_ACTN']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_ADVRS_LGL_ACTN']",ACTN_TXT,VARCHAR2,Description of the adverse legal action._x000D_
LAW_AUTHRTY_NAME,,PEC_ADVRS_LGL_ACTN,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_ADVRS_LGL_ACTN']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_ADVRS_LGL_ACTN']",LAW_AUTHRTY_NAME,VARCHAR2,"Law enforcement authority/court/administrative body that imposed the action, and the resolution._x000D_"
RSLTN_TXT,String255,PEC_ADVRS_LGL_ACTN,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_ADVRS_LGL_ACTN']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_ADVRS_LGL_ACTN']",RSLTN_TXT,VARCHAR2,"Evidence of how the adverse legal action was finally resolved. (e.g., reinstatement notices, etc.)_x000D_"
ACTN_DT,DATE_TYPE,PEC_ADVRS_LGL_ACTN,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_ADVRS_LGL_ACTN']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_ADVRS_LGL_ACTN']",ACTN_DT,DATE,Indicates whether the PECOS associate has any adverse legal actions._x000D_
ORG_INFO,ORG_INFO_TYPE,PRVDR_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO']",,,
ORG_NAME,ORG_NAME_TYPE,ORG_ASCTN_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'ORG_ASCTN_INFO']","minOccurs=0, maxOccurs=unbounded",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'ORG_ASCTN_INFO']",ORG_NAME,VARCHAR2,The Legal Business Name (LBN) of the seller/former owner. This attribute will provide historical information in the event that the associated PECOS Associate of the seller/former owner is deleted from PECOS._x000D_
LBN,String70,ORG_NAME,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'ORG_ASCTN_INFO', 'ORG_NAME']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'ENRLMTS', 'CMS_855O', 'ENRLMT_INFO', 'ENRLMT_DTLS', 'PEC_ENRLMT_ASCTN_LIST', 'PEC_ENRLMT_ASCTN', 'ORG_ASCTN_INFO', 'ORG_NAME']",,,
PRPRTR_NPRFT_CD,String1,ORG_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO']",PRPRTR_NPRFT_CD,CHAR,Identifies that the business is registered as proprietor or non-profit with the IRS:P - Proprietor  N - Nonprofit_x000D_
PEC_CHAIN_HOME,PEC_CHAIN_HOME_Type,ORG_INFO,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO']",,,
PEC_CHAIN_DRCTRY_PRVDR,PEC_CHAIN_DRCTRY_PRVDR_Type,PEC_CHAIN_HOME,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_CHAIN_HOME']","minOccurs=0, maxOccurs=unbounded",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_CHAIN_HOME']",,,
CHAIN_PECOS_ASC_ID,String10,PEC_CHAIN_DRCTRY_PRVDR,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_CHAIN_HOME', 'PEC_CHAIN_DRCTRY_PRVDR']","minOccurs=0, maxOccurs=1",,"['UGE', 'CNTNT', 'MDCR_PRVDR', 'PRVDR', 'PRVDR_INFO', 'ORG_INFO', 'PEC_CHAIN_HOME', 'PEC_CHAIN_DRCTRY_PRVDR']",CHAIN_PECOS_ASC_ID,CHAR,Unique number that identifies a Pecos Associate._x000D_
