"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1831187855","Sleep Rite","3"
"1861416406","Briarwood Village","3"
"1871462325","Mercedes and Family LLC","3"
"1871964916","Jerry H Singer MD","3"
"1013386952","Springs Urology","3"
"1013921071","Hempfield Manor","3"
"1053325951","Warren Manor","3"
"1083628085","Sweden Valley Manor","3"
"1134297039","None","5"
"1144234139","Roselawn Manor","3"
"1154335305","Village at the Greene","3"
"1194397240","Heritage Health CFHL CDA","3"
"1235508268","Lief Urology","3"
"1306715875","Elder Talk Therapy","3"
"1346954062","Whole Health Coach & Massage","3"
"1386513257","JHRP-10753 FALLS RD STE 345-PROVIDER TYPE: 20 PHYSICIAN","3"
"1396019378","Florida Urology Specialists","3"
"1447264452","St. Catherine's Manor of Findlay","3"
"1447264452","The Manor at Greendale","3"
"1528239498","Fox Run Manor","3"
"1558230029","2ND Chance Youth & Wellness","3"
"1639183817","Edinboro Manor","3"
"1649294216","St. Catherine's Manor of Washington Court House","3"
"1659317287","Safeway Pharmacy #1596","3"
"1659385656","Shawnee Manor","3"
"1659385797","Fairview Manor","3"
"1720957236","Haelan Psychiatry & Wellness","3"
"1740424241","Community Medical Equip","3"
"1740424241","Community Medical Equipment","3"
"1750323242","Chiropractic Company - Milwaukee Downtown LTD","3"
"1750323242","Chiropractic Company - Third Ward","3"
"1750750782","Eduardo Garcia-Montes MD","3"
"1770452146","2ND Chance Youth & Wellness","3"
"1780550376","Springfield Health Care Center","3"
"1811901713","Wapakoneta Manor","3"
"1831068303","Mind Body Child","3"
"1851305833","Piqua Manor","3"
"1851305858","Van Wert Manor","3"
"1902604770","Publix Pharmacy #2100","3"
"1932961760","FYZICAL Therapy & Balance Centers","3"
"1942072194","SoCo Eye Specialists","3"
"1972483493","Yosemite ENT","3"
"1982618963","The Manor at Perrysburg","3"
"1992976567","St. Catherine's Manor of Fostoria","3"
"1023987401","JHCP-110 SOUTH PACA ST. - PROVIDER TYPE: 20- PHYSICIAN","3"
"1033938451","Baylor Scott & White The Heart Hospital Rehabilitation","3"
"1124057914","The Village Network","3"
"1164179438","CAnvi Behavioral Health CM/PS","3"
"1215818711","Majestic Care of Manchin","3"
"1245109628","Harbor","3"
"1275415556","Iron Bear Counseling","3"
"1275415556","MidCoast Bay Counseling","3"
"1275415556","Ocean Bay Counseling","3"
"1275415556","Sankofa Tree Counseling","3"
"1275415556","Timber Wolf Counseling","3"
"1336018720","Physicians Premiere Weight Physicians Premiere Weight","3"
"1356218473","Mercy Care Inc. - Home Care Division","3"
"1508732355","Lonestar Primary Care Providers","3"
"1548763022","The Village Network/Brite Futures - Wheeling","3"
"1548763022","Village Network","3"
"1679379895","Next Step Technologies","3"
"1689543084","Coalfield Health Center","3"
"1689543084","Coalfield Health Center - Main Street","5"
"1730454604","Circle of Friends of Kings County","3"
"1760653638","Court House Manor","3"
"1780351734","THERAPYCENTRAL INC","3"
"1851260236","JHCP-11100 JOHNS HOPKINS RD. - PROVIDER TYPE: 20- PHYSICIAN","3"
"1871226068","Sowka Psychotherapy & Consultation LLC","3"
"1871226068","Melinda Sowka","5"
"1932078680","Amazon Children Debtal Group","3"
"1033634639","iFinish Strong LLC","3"
"1053068783","Innovative Wellness Consulting","3"
"1053068783","Manifest Apothecary","3"
"1053068783","The Feel Well Coach","3"
"1083669477","MAPS","3"
"1144039363","Koinonia Family Services","3"
"1164391561","3MT","3"
"1215683339","Inner City Bleus Classic Cutz","5"
"1235008640","Carmen Manor","3"
"1265100176","Care Partners at Home","3"
"1275083305","Amity Healthcare Services, LLC","3"
"1275083305","Amity Healthcare Services, LLC","5"
"1285934570","TruCare Urgent Care","3"
"1285934570","Westview Urgent Care Medi Center","3"
"1295193589","Southern Grace - Senior Home Care","3"
"1316816739","Billet Home Health- OKC","3"
"1336018738","Victory Community Pharmacy LTC","3"
"1346006483","DCH Pharmacy at DCH Med Twr - Specialty","3"
"1396493656","Inner City Bleus Classic Cutz","5"
"1487537445","Maternal Child Health Center of Excellence","5"
"1518836915","Aban Wellness Care","3"
"1588616767","MD West ONE, PC","3"
"1619846029","ACHC - Commercial St.","3"
"1689757460","KY Doctors of Optometry","3"
"1689757460","Visionworks Doctors of Optometry","3"
"1699363812","UCC","3"
"1699363812","United Community Corporation","4"
"1720523764","Koinonia Family Services","3"
"1740179340","Double Belssing Oncology","5"
"1770456725","James Club Treatment Center","3"
"1790843787","Jefferson County Public Health","3"
"1790843787","Jefferson County Treasurer","3"
"1801194709","TruCare Primary Care","3"
"1801194709","Westview Primary Care","3"
"1881563203","Infinito Primary & Urgent Care Clinic","3"
"1962876623","Russell Chiropractic","3"
"1992674394","Orthopedic Institute of Pennsylvania","3"
"1033652342","Koinonia Family Services","3"
"1043209877","Acelis Connected Health Supplies","3"
"1093684433","Calyanna Banks","3"
"1093684433","Marianna Eggleston","3"
"1093684433","Sharvell Eggleston","3"
"1104361146","Koinonia Family Services","3"
"1245725464","Koinonia Family Services","3"
"1245725464","Koinonia Family Restoration Program","5"
"1255218848","LOW COST LAB","3"
"1336876747","One Collective","3"
"1376592287","Ko-Kwel Wellness Center","3"
"1396186904","Foot & Ankle Specialists of the Woodlands","3"
"1396203675","Koinonia Family Services","5"
"1396966123","Koinonia Family Services","3"
"1417274952","Vital Primary Care","3"
"1437617784","Koinonia Family Services","5"
"1457107336","Rock Creek Rehabilitation and Healthcare Center","3"
"1467995738","Koinonia Family Services","3"
"1467997403","Koinonia Family Services","3"
"1518503598","NA Incredible Families Central","5"
"1558871228","CIT Retail Pharmacy","5"
"1578598868","JHCP-4225 ALTAMONT PL 202-PROVIDER TYPE: 20-PHYSICIAN","3"
"1578598868","Johns Hopkins Community Physicians, Inc","3"
"1629570932","Koinonia Family Services","3"
"1629947049","Koinonia Family Services","5"
"1639614688","Koinonia Family Services","3"
"1639969272","Angelic Assistance At Home Health Agency","3"
"1669350195","Northwest DPC & Headache","3"
"1669350195","Northwest Direct Primary Care & Headache","3"
"1700551389","The Sanchez Center","3"
"1700878030","RAY FISHER PHARMACY, INC.","3"
"1770079824","Koinonia Family Services","3"
"1770787020","Koinonia Treatment Clinic","3"
"1780184846","Koinonia Homes for Teens","3"
"1811866254","Exodus SDC East County CSU","5"
"1831506534","Koinonia Homes for Teens","3"
"1861361206","Robin Roemer Therapy","3"
"1881170827","Koinonia Homes for Teens","3"
"1902436744","Koinonia Family Services","3"
"1942768221","Koinonia Homes for Teens","3"
"1982115366","CIT Tribal Pharmacy","5"
"1992016216","Belmont University Health Services Pharmacy","3"
"1992673339","Exodus Psychiatric Health Facility Oceanside","5"
"1003647587","Island City Medical Center","3"
"1003647587","Island City Urgent Care","3"
"1003647587","Island City Urgent Care & Medical Center","3"
"1134091465","TRUE GUT GI HEALTH","3"
"1154119550","COLORA PHARMACY","3"
"1174490510","KC Advanced Healing","3"
"1184009326","Hudson Bergen Endo-surgical Center","3"
"1336961853","Wavecrest Behavioral Health","3"
"1386835874","AccordCare Home Health","3"
"1427927888","Empathy Care","3"
"1528937182","Vera Whole Health","3"
"1609568922","Executive Blvd location","5"
"1649005695","Horizon's Edge LLC","3"
"1700657236","Cloud E Connect LLC","3"
"1902974470","AccordCare Home Health","3"
"1922028265","t/a ACCESS","3"
"1952270316","Bloompath Behavior Services","3"
"1962205013","NuMe Health Services","3"
"1003116021","Beyond Healthcare Agency","3"
"1013551662","Treatment Center of Newnan","3"
"1063381333","Great Strides Rehabilitation","3"
"1073593109","Tennessee Endoscopy Center","3"
"1104490119","RAPID LAB SOLUTIONS LLC","5"
"1124324181","Manhattan Endo","4"
"1124838438","Aero Community Healthcare","3"
"1144076407","NCE CONTROLS, LLC","4"
"1215211552","Putnam Endoscopy ASC, LLC","3"
"1215703632","SGMC Health Lanier","3"
"1215703632","SGMC Lanier Campus","3"
"1215806575","Medi-WeightLoss","3"
"1225907587","The Bridge Massage and Wellness","3"
"1306973235","Digestive Disease & Endoscopy Center, PLLC","4"
"1336018696","JHCP-10313 GEORGIA AVE STE 306-PROVIDER TYPE: 20-PHYSICIAN","3"
"1336025097","Palms Dentistry Greenville-Mauldin SC@Riccobene","3"
"1376503581","Dulaney Towson Dialysis Center","3"
"1396511713","SGMC Health Villa","3"
"1427741354","TOYE FOUNDATION","3"
"1427741354","TOYE HEALTH SERVICES","3"
"1467288316","Lapis Counseling","3"
"1487408175","JLC Counseling and Wellness LLC","3"
"1487548285","Allina Health Cancer Institute - Faribault","3"
"1497521801","SGMC Berrien Campus","3"
"1497521801","SGMC Berrien Cmapus","3"
"1497521801","SGMC Berrien Health","3"
"1518367234","Anethesia SCM","3"
"1588208128","Treatment Center of Waycross","3"
"1598531907","SGMC Health","3"
"1598531907","SGMC Inpatient Rehab Unit","3"
"1598531907","South Georgia Medical Center","3"
"1609745967","JHCP-10710 CHARTER DR STE 420-PROVIDER TYPE: 20-PHYSICIAN","3"
"1619485976","Mequon Vein & Laser Center","3"
"1619511334","Treatment Center of Augusta","3"
"1689440091","SGMC Berrien Campus","3"
"1689440091","SGMC Health Berrien","3"
"1689487639","Mindful Over Matter","3"
"1689910739","University Suburban Endoscopy Center","5"
"1710863477","Palms Dentistry Simpsonville SC@Riccobene","3"
"1730286667","DRUGS AMERICA","3"
"1760351027","JHRP-10755 FALLS RD STE 200-PROVIDER TYPE: 20 PHYSICIAN","3"
"1780228320","Treatment Center of Valdosta","3"
"1831066208","Carolina Clinic for Health and Wellness","3"
"1851167274","SGMC Health Lanier","3"
"1851167274","SGMC Lanier Campus","3"
"1922896711","University of Maryland Medical Group","3"
"1972678449","PGC Endoscopy Center, Inc","4"
"1992875454","The Endo Center of Elgin Gastroenterology","3"
"1033081351","Reno Tahoe Psychiatry","3"
"1093090342","Edith Sanford Breast Specialty Clinic","3"
"1093090342","Sanford 26th and Sycamore Family Medicine","3"
"1093090342","Sanford 32nd & Ellis Family Medicine Clinic","3"
"1093090342","Sanford 49th and Oxbow Clinic","3"
"1093090342","Sanford 4th and Sycamore Family Medicine","3"
"1093090342","Sanford 69th & Louise Family Medicine","3"
"1093090342","Sanford 69th & Minnesota Family Medicine","3"
"1093090342","Sanford Acute Care 26th & Sycamore Clinic","3"
"1093090342","Sanford Acute Care 32nd & Ellis Clinic","3"
"1093090342","Sanford Acute Care 69th & Minnesota Clinic","3"
"1093090342","Sanford Acute Care Sports Complex Clinic","3"
"1093090342","Sanford Brandon Clinic","3"
"1093090342","Sanford Cancer Center Oncology Clinic","3"
"1093090342","Sanford Cardiovascular Institute","3"
"1093090342","Sanford Children's 26th & Sycamore Clinic","3"
"1093090342","Sanford Children's 32nd & Ellis Clinic","3"
"1093090342","Sanford Children's 69th & Louise Clinic","3"
"1093090342","Sanford Children's Clinic Sanford USD Medical Center MB2","3"
"1093090342","Sanford Children's Residency Clinic","3"
"1093090342","Sanford Children's Specialty Clinic","3"
"1093090342","Sanford Clinic Allergy and Immunology","3"
"1093090342","Sanford Clinic Family Medicine Hartford","3"
"1093090342","Sanford Clinic Radiation Oncology","3"
"1093090342","Sanford Clinic Tracy","3"
"1093090342","Sanford Dermatology Clinic","3"
"1093090342","Sanford Diabetes and Thyroid Clinic","3"
"1093090342","Sanford Ear Nose & Throat Clinic","3"
"1093090342","Sanford Edith Sanford Breast Center","3"
"1093090342","Sanford Eye Center & Optical","3"
"1093090342","Sanford Gastroenterology Clinic","3"
"1093090342","Sanford Gynecologic Oncology Clinic","3"
"1093090342","Sanford Harrisburg Clinic","3"
"1093090342","Sanford Health Brookings Clinic","3"
"1093090342","Sanford Health Edith Sanford Breast Center Bridges","3"
"1093090342","Sanford Health Edith Sanford Breast Center Watertown","3"
"1093090342","Sanford Health Fertility & Reproductive Clinic","3"
"1093090342","Sanford Health Maternal Fetal Medicine Clinic","3"
"1093090342","Sanford Health Mitchell","3"
"1093090342","Sanford Health Pierre Clinic","3"
"1093090342","Sanford Health Psychiatry & Psychology Clinic","3"
"1093090342","Sanford Health Rock Rapids Clinic","3"
"1093090342","Sanford Health Watertown Clinic","3"
"1093090342","Sanford Infectious Disease Clinic","3"
"1093090342","Sanford Internal Medicine Clinic","3"
"1093090342","Sanford Madison & Veterans Parkway Clinic","3"
"1093090342","Sanford Nephrology Clinic","3"
"1093090342","Sanford Neurology Clinic","3"
"1093090342","Sanford Neurosurgery and Spine Clinic","3"
"1093090342","Sanford Obstetrics & Gynecology 32nd & Ellis Clinic","3"
"1093090342","Sanford Obstetrics and Gynecology Clinic","3"
"1093090342","Sanford Orthopedics & Sports Medicine","3"
"1093090342","Sanford Physical Medicine and Rehabilitation","3"
"1093090342","Sanford Psychiatry and Psychology Clinic","3"
"1093090342","Sanford Pulmonary Medicine Clinic","3"
"1093090342","Sanford Rheumatology Clinic","3"
"1093090342","Sanford USD 34th & Kiwanis Family Medicine Clinic","3"
"1093090342","Sanford USD Medical Center-CRNA/ED","3"
"1093090342","Sanford Urogynecology and Pelvic Surgery Clinic","3"
"1093090342","Sanford Vascular Associates","3"
"1093090342","Sanford Weight Management Center","3"
"1093090342","Sanford Women's Primary Care Clinic","3"
"1093090342","Sanford Wound Healing Clinic","3"
"1104344068","Twin Lakes Recovery Center","3"
"1144396300","Ascension Living Alexian Village Milwaukee","3"
"1225455082","Mahoning County Chemical Dependency Programs, Inc.","4"
"1225455082","Meridian Community Care","4"
"1225455082","Meridian Services, Inc.","4"
"1235008509","Commonwealth Specialty - Charlottesville","3"
"1255837183","SAVE MORE PHARMACY INC","3"
"1265228167","Hues of Healing","3"
"1346634599","Creative Psychology with Dr. Dug PLLC","3"
"1356307235","Mahoning County Chemical Dependency Programs, Inc.","4"
"1356307235","Meridian Community Care","4"
"1356307235","Meridian Services, Inc.","4"
"1376745430","Charak Home Health Care","3"
"1386950350","crane memorial hospital","3"
"1407115298","Meridian Community Care","4"
"1447890157","Rivers Health Regional Health Center","3"
"1447890157","Pleasant Valley Hospital Regional Health Center","5"
"1477448157","Noor Pharmacy  With Dept Inc","3"
"1497624779","4LK Healthcare","3"
"1508666280","City Family Dental","3"
"1518214725","NOLA Dialysis","3"
"1578032660","North Jersey Therapeutic Services","3"
"1629133053","Palmetto Orthotic, Prosthetic & Pedorthic Center, LLC","3"
"1659931525","Hutchinson Regional Physician Network","3"
"1710228416","National Church Residences Lincoln Village","3"
"1710571070","AdaptHealth","3"
"1710571070","AeroCare","3"
"1740654920","Twin Lakes Recovery Center","3"
"1790482834","Geode Health 2","3"
"1790581296","Assisting Hands Orland Park","3"
"1871128520","Canyon Vista Recovery Center","3"
"1881120558","Canyon Vista Recovery Center","3"
"1912452590","Dixie Pharmacy","3"
"1922977982","Link4Recovery Courier Services LLC","3"
"1922977982","Link4Recovery Medical Courier Services LLC","3"
"1932808235","Ark Autsim Behavior Therapy","3"
"1952181927","Pediatric Therapy Studios","3"
"1972609030","NatlChrchResidences Home and Community Services Central Ohio Hospice","3"
"1013886316","Bigelow Counseling","3"
"1023790805","Pacific Sky Recovery Center","3"
"1033088331","New River Health Harper Road","3"
"1073482378","Specialty Clinic AP","3"
"1083882666","Quality Vision Eyewear","4"
"1083882666","Valentino P Luna Jr","5"
"1083882666","quality vision eyewear","5"
"1174123582","Seabrook","3"
"1225865728","Axiom Healthcare Of Mount Vernon","3"
"1245776848","English Mountain Recovery","3"
"1265132567","Clark Cancer & Lymphedema Therapy","5"
"1326934431","Axiom Gardens of Nashville","3"
"1336255827","Palisades Eye Surgery Center","3"
"1336508845","The Aviary Recovery Center","3"
"1346077849","Axiom Healthcare Of West Frankfort","3"
"1346571775","LOR Diagnostics LLC","3"
"1346950045","Ellie Mental Health Rockwall","3"
"1356237465","Axiom Gardens of Nashville","3"
"1356875678","The Aviary Recovery Center","3"
"1366279853","Axiom Healthcare Of Flora","3"
"1376370874","Axiom Healthcare of Rosiclare","3"
"1386066322","Valley Recovery Center of California","3"
"1386175602","Radical Healing Arts, LLC","3"
"1386175602","Radical Healing Collaborative","3"
"1407363195","Cottonwood Tucson Outpatient","3"
"1417130055","VICKIS MASTECTOMY BOUTIQUE","5"
"1417130055","Vicki's Mastectomy Boutique","5"
"1417784919","Axiom Healthcare Of Harrisburg","3"
"1467289967","Axiom Healthcare Of Rosiclare","3"
"1467321752","Richmond Heights Senior Living","3"
"1487523783","NOVA IV Therapy","3"
"1497582993","Axiom Healthcare Of Mount Vernon","3"
"1558230847","Marshfield Medical Center - Eau Claire Cancer Center","3"
"1578245205","Stone River Recovery Center","3"
"1619645678","VALOR STATION, LLC","3"
"1619846904","The Independence House of Fostoria","3"
"1639656432","La Jolla LASIK","3"
"1639656432","La Jolla LASIK Institute","3"
"1679282586","Beam of Light","3"
"1700090834","Los Angeles County - Department of Public Health","5"
"1700090834","Substance Abuse Prevention and Control","5"
"1710714217","Axiom Healthcare Of West Frankfort","3"
"1720437999","Lenscrafters at Macy's #8485","3"
"1760940142","Marshfield Medical Center - Eau Claire DME","3"
"1760940142","Marshfield Medical Center - Eau Claire Medical Offices DME","3"
"1780411264","Axiom Gardens of Flora","3"
"1821800475","Jetlife Wellness Center","3"
"1841811601","Hilda's Place Behavioral Health Organization","3"
"1912371196","Twin Lakes Recovery Center","3"
"1912876202","Greenbrier Medical Arts Pharmacy - LTC","5"
"1922977214","Bay Area Rheumatology Dispensary","3"
"1942197876","Awakened Bodywork Clinic","3"
"1942197876","Awakened Wellness Center","3"
"1962931477","Public Health Communicable Disease Clinic","5"
"1972900462","Hiers Drug Store","3"
"1982359527","Flourish Fund","5"
"1982825089","SPOONER PHYSICAL THERAPY - FOUNTAIN HILLS","3"
"1992672232","Time Means Everything","3"
"1003184367","National Church Residences Permanent Supportive Housing","3"
"1043182801","TRINITY HEALTH COMMUNITY CLINIC","3"
"1043858475","Advanced Healthcare Associates","3"
"1073493516","Scarpelli & Associates PT","3"
"1093684326","KINTEGRA AT BLACKBURN ELEMENTARY","3"
"1093788002","Aveanna Healthcare","3"
"1114684701","Care Anywhere","5"
"1124804026","Infusion Associates","3"
"1144057647","Axiom Healthcare Of Harrisburg","3"
"1174147052","Ambulatory Services Bridgeport Hospital","5"
"1194565382","Shine Bright","3"
"1194565382","Shine Bright Counseling","3"
"1205705514","Aymin Senior Living","3"
"1215129473","Tomball Chiropractic Center","3"
"1215759881","JHCP- 110 W TMONIUM RD STE 100","3"
"1215759881","JHCP- 110 W Timonium","5"
"1245067735","Axiom Healthcare Of Flora","3"
"1275336455","Healths Wealth healthcare services","3"
"1275336455","Healths Wealth healthcare services Pllc","3"
"1285730358","Harmony Trace","3"
"1285730358","National Church Residences Mill Run","3"
"1326058223","Aveanna Healthcare","3"
"1346119674","MN Care Services","3"
"1356059372","National Church Residences Palliative Care","3"
"1356210678","KINTEGRA AT BANOAK ELEMENTARY","3"
"1366116139","APERION CARE HILLSIDE","3"
"1376162735","Ogden Dialysis","3"
"1427663947","Cottonwood Tucson","3"
"1457417933","Infusion Associates","3"
"1467271916","JHCP - 1132 Annapolis Road 201","3"
"1487200986","APERION CARE BRADLEY","3"
"1619796117","JHCP-15005 SHADY GROVE RD STE 340-PROVIDER TYPE: 20 PHYSICIAN","3"
"1619796117","JHCP-15005 Shady Grove Suite 340","3"
